id,name,ingredients,allergensraw,link,allergensmapped
106,Plant soya pot plain,"water,  soya beans, modified maize starch, potato starch, sea salt, natural flavouring",soybeans,https://world.openfoodfacts.org/product/4056489466598,
107,Dark soy sauce,"water, soy sauce extract  , water, soybean , salt, wheat flour, sugar, salt, colour  plain caramel, acidity regulators  lactic acid, citric acid, preservative  potassium sorbate","gluten, soybeans",https://world.openfoodfacts.org/product/5000111044202,
108,Snack poppe TH,"soy flour , tapioca starch , dehydrated potato , sunflower oil, whey permeate powder milk, rice flour, potato starch ,, salt, tomato powder ,, sugar, spices, herbs of which , parsley , basil ground, natural flavouring, acidifier malic acid, colour paprika extract","milk, soybeans",https://world.openfoodfacts.org/product/3245550078681,
109,Oat Mlk,"water, oats , rapeseed oil, acidity regulator tricalcium phosphate, calcium carbonate, salt",gluten,https://world.openfoodfacts.org/product/5060406080223,
110,Soya Drink Unsweetened,"water, soya bean , tricalcium phosphate, natural flavouring, stabiliser gellan gum, potassium lodide, vitamin b, riboflavin, vitamin d",soybeans,https://world.openfoodfacts.org/product/5057753181369,
111,Premium dark soy sauce,"water, salt, colour plain caramel, sugar, defatted soybeans , wheat net  ml","gluten, soybeans",https://world.openfoodfacts.org/product/0078895126389,
112,Light Soy Sauce,"soy sauce extract , water, soybean, salt, wheat flour, water sugar salt, colcur plain caramel, acidity regulators citric acid, lactic acid, preservative potassium sorbate, flavour enhancears e, e","gluten, soybeans",https://world.openfoodfacts.org/product/5000111044226,
113,Soy Sauce,"water,  soybeans, wheat, salt","gluten, soybeans",https://world.openfoodfacts.org/product/20521493,
114,Bebida de Soja UHT,"water, peeled soybeans , salt,",soybeans,https://world.openfoodfacts.org/product/8480000293145,
115,Saveur Barbecue,"soya flour , tapioca starch, dehydrated potato , sunflower oil, potato starch , rice flour, lactose milk, sugar, onions, salt, natural flavouring milk, yeast extract, tomatoes, colour paprika extract, acid malic acid","celery, milk, soybeans",https://world.openfoodfacts.org/product/3245550078674,
116,"Le Gourmand Soja, Poivre et Persil","water, soy protein concentrate , breadcrumbs wheat flour, water, rapeseed oil, yeast, salt, paprika extract, wheat protein , dehydrated onions, vegetable oils rapeseed, sunflower in varying proportions, egg white powder , apple puree, acidity regulator buffered vinegar, flavourings wheat, corn starch, parsley , potato flakes, yeast extract, coriander, garlic powder, pea fibre and starch, barley malt extract, salt, spirit vinegar, black pepper , cumin, mace, may contain sesame, celery and mustard,","eggs, gluten, soybeans",https://world.openfoodfacts.org/product/7613035982055,
117,Nature Sans Sucres,"soy juice , calcium salts, natural flavouring, vitamin d, ferments including bifidus",soybeans,https://world.openfoodfacts.org/product/3273220081068,
118,Mince,"mycoprotein , rehydrated free range egg white, pea fibre, gluten free barley malt extract allergy advice","eggs, gluten",https://world.openfoodfacts.org/product/5019503002157,
119,Soy yoghurt Greek style,"soya juice  water, soya beans ,, thickener pectin, selected live cultures",soybeans,https://world.openfoodfacts.org/product/3273220182574,
120,Super Firm Tofu,"water, organic soya beans , firming agent nigari magnesium chloride",soybeans,https://world.openfoodfacts.org/product/00412896,
121,Cod Fish Fingers,"cod  fish, breadcrumb coating wheat flour, water, potato starch, salt, paprika, yeast, turmeric, rapeseed oil","fish, gluten",https://world.openfoodfacts.org/product/5000116111947,
122,Salade Compagnie - Antibes,"mixed salad topped with  rice,  raw vegetables,  egg,  tuna and  olive, accompanied by a vinaigrette sauce with  balsamic vinegar, a cookie with  chocolate chips and breadsticks, mixed salad  cooked rice  water, rice, salt, egg, salad , tomatoes , sweet corn, tuna, soybeans, olives, roasted peppers, lemon juice, vegetable oils rapeseed, sunflower, water, ferments, glucose syrup, salt, natural flavors, aromatic plants, balsamic dressing sauce  rapeseed oil, virgin olive oil, wine vinegar sulphites, grape must, salt, lemon biscuit  wheat flour, concentrated butter, egg, lemon zest and puree, rapeseed oil, sugar, wheat starch, baking powders e, sodium carbonates, natural flavors, salt, poppy seeds, breadsticks  wheat flour, water, virgin olive oil, rosemary, bakers yeast, salt, poppy seeds, durum wheat semolina, sugar,","eggs, fish, gluten, milk, mustard, soybeans, sulphur dioxide and sulphites",https://world.openfoodfacts.org/product/3242274002053,
123,10 Fish Fingers Omega 3,"alaska pollock fish , breadcrumb coating, rapeseed oil breadcrumb coating wheat flour, water, potato starch, salt, paprika, yeast, turmeric","fish, gluten",https://world.openfoodfacts.org/product/5000116111978,
124,Colin dAlaska MSC facon Fish Chips,"alaskan colin , wheat flour wheat, calcium carbonate, iron, niacin, thiamine, water, rapeseed oil, wheat starch, salt, rice flour, corn flour, mustard, natural flavors including mustard, dextrose, baking powders diphosphates, sodium bicarbonate, garlic powder, wheat gluten, paprika, spice extract","fish, gluten, mustard",https://world.openfoodfacts.org/product/3599741003380,
125,Breaded Omega 3 Fish Fingers,"alaska pollock theragra chalcogramma fish , wheat flour wheat flour, calcium carbonate, iron, niacin, thiamin, rapeseed oil, potato starch, wheat starch, salt, spices paprika, turmeric, yeast","fish, gluten",https://world.openfoodfacts.org/product/4088600253961,
126,St Jacques fondue leeks Basmati rice,"cooked rice  water, basmati rice, rapeseed oil, salt, scallop  a zygochlamys patagonica from argentina  b russian chlamys albidus  c argopecten purpuratus from peru  d chlamys opercularis scotland ireland, fresh cream , water, leeks , vermouth, wheat flour, shallots , butter , rapeseed oil, white wine , salt, garlic, concentrated lemon juice, pepper to know the origin and the species, refer to the lot number","gluten, milk, molluscs",https://world.openfoodfacts.org/product/3248832967611,
127,Paneerattu kalapuikko alaskanseitifileesta," alaska seaiachsfiiet , wheat flour , sunflower oil, potato starch, water, table salt, yeast, spices white pepper, pepper","fish, gluten",https://world.openfoodfacts.org/product/20155087,
128,Fish sauce imp,"anchovy extract  fish, salt, sugar, water",fish,https://world.openfoodfacts.org/product/5010338404383,
129,Battered Chunky Fish Fingers,"flour wheat flour, calcium, iron, niacin, thiamine, water, wholemeal wheat flour, barley flour, organic wholemeal emmer wheat flour, spelt flour wheat, sea salt no artificial preservatives no added sugar n ene fat","fish, gluten",https://world.openfoodfacts.org/product/5060235980510,
130,Rainbow Salmon Poke,"cooked rice water, rice, sugar, spirit vinegar, rice vinegar, salt, rapeseed oil, fructoseglucose syrup, cane molasses, salmon salmo salar fish , soy sesame dressing  water, soy sauce water, soya beans, wheat, salt, alcohol, sugar, rice vinegar, sesame seed oil, modified maize starch, onion puree, spirit vinegar, apple juice concentrate, ginger puree, lemon juice concentrate, lime juice concentrate, garlic powder, white pepper, edamame beans  soya, pickled red cabbage  red cabbage, rice vinegar, sugar, salt, grilled yellow pepper , crispy onions  onion, palm oil, wheat flour, salt","fish, gluten, sesame seeds, soybeans",https://world.openfoodfacts.org/product/5035272937469,
131,Mackrel Fillets in spicy tomato sauce," mackerel fillets fish, water,  tomato puree, sugar, spirit vinegar, spices chilli, star anise, nutmeg, cinnamon, paprika, coriander, fenugreek, cumin, turmeric, garlic, pepper, fennel, clove, caraway, ginger, allspice, bitter orange peel, salt",fish,https://world.openfoodfacts.org/product/20183059,
132,Mackerel fillets," mackerel fillets fish, water,  tomato puree, salt",fish,https://world.openfoodfacts.org/product/4056489350804,
133,Omega-3 Fish Fingers,"alaska pollock  fish, wheat flour, sunflower oil, water, potato starch, salt, spices paprika, white pepper, yeast, fish oil","fish, gluten",https://world.openfoodfacts.org/product/4056489431039,
134,28 batonnets de surimi," fish meat, water, starches contains cereals containing gluten, rehydrated egg white, rapeseed oil, sugar, salt, natural flavours contains crustaceans, colour paprika extract,","crustaceans, eggs, fish, gluten",https://world.openfoodfacts.org/product/20466909,
135,Fish fingers,"alaska pollock  fish, breadcrumb coating wheat flour, water, potato starch, salt, paprika, fish oil, yeast, turmeric, rapeseed oil","fish, gluten",https://world.openfoodfacts.org/product/5000116124572,
136,fish fingers,"nutr alaska pollock fish , breadcrumb coatingquot,, rapeseed oil breadcrumb coating wheat flour, water, potato starch, salt, paprika, yeast, turmeric","fish, gluten",https://world.openfoodfacts.org/product/5000116128921,
137,Tesco mackerel in tomato sauce,"sardines fish typical values , tomato puree , sunflower oil, salt",fish,https://world.openfoodfacts.org/product/5018374363411,
138,Fish Pie,"potatoes, milk, hake  fish, salmon  fish, cream milk, butter milk, smoked haddock  smoked haddock fish, salt, wheat flour wheat flour, calcium carbonate, iron, niacin, thiamin, cheddar cheese milk, spinach, breadcrumbs wheat flour wheat flour, calcium carbonate, iron, niacin, thiamin, salt, yeast, caramelised sugar, colours paprika extract, turmeric extract, double cream milk, salt, parsley, freerange egg yolk, fish stock water, salt, fish powder, rapeseed oil, dried cod fish, anchovies fish, lemon juice concentrate, dried onion, dried potato, lemon juice, white pepper","eggs, fish, gluten, milk",https://world.openfoodfacts.org/product/5033665208639,
139,Mackerel in Tomato Sauce,"mackerel scomber scombrus  fish, tomato paste , water, rapeseed oil, sugar, salt allergy advice for allorgens see ingredients in hold",fish,https://world.openfoodfacts.org/product/4088600107004,
140,Riz a la Provencale au Thon Basilic,"rice , tomatoes , thon , peas , sweet corn , black olives , peppers, alcohol vinegar, rapeseed oil, extra virgin olive oil, basil ,, salt, dijon moutarde water, moutarde seeds, alcohol vinegar, salt, sugar, thickeners guar gum  xanthan gum, natural flavourings, made in a workshop also using gluten, milk, egg, celery, crustacean, soy, nuts ,","celery, crustaceans, eggs, fish, gluten, milk, mustard",https://world.openfoodfacts.org/product/3083681081596,
141,Cooked Scottish Mussels,"mussels , garlic butter sauce  rehydrated skimmed milk, rehydrated vegetable stock water, maltodextrin, yeast extract, salt, sugar, vegetable extracts onion, carrot, celery, vegetable oil, dried tomato,herbs, vegetable oil, modified maize starch, salt, soya lecithin, butter , garlic puree, salt, dried parsley","celery, milk, molluscs, soybeans",https://world.openfoodfacts.org/product/20143299,
142,Pickled cockles,"cockles mollusc, water, salt, acetic acid, malt vinegar from barley gluten may contain traces of crustaceans","gluten, molluscs",https://world.openfoodfacts.org/product/50824991,
143,King Prawn Tikka Masala with pilau rice,"cooked pilau rice water, basmati rice, rapeseed oil, salt, concentrated lemon juice, cumin seed, cardamom pods, cardamom powder, bay leaf, colour curcumin, king prawn crustacean , onion, tomato puree, single cream milk, tomato, yogurt milk, rapeseed oil, tomato juice, ground almonds, ginger puree, garlic puree, butter milk, honey, cornflour, salt, coriander leaf, coriander powder, cumin powder, paprika, acidity regulator sodium bicarbonate, green chilli, curry leaves, black mustard seed, turmeric, cardamom, colour paprika extract, fenugreek, black pepper, chilli powder, cinnamon powder, clove powder, fennel, bay leaf made using prawns farmed in thailand and honduras","crustaceans, milk, mustard, nuts",https://world.openfoodfacts.org/product/5059697699351,
144,Prawn Mangetout Gyoza with a Ponzu Dip,"prawn and mangetout gyoza  tiger prawns crustacean  , wheatflour contains gluten, cabbage , water , mangetout  , onions, sunflower oil , chives , ginger , salt ,white wine,red chillies , sesame oil, sugar , light soy sauce water, soybeans, salt ,wheat contains gluten , fructoseglucose syrup , ground white pepper ponzu dip  nori stock water seaweed , soy sauce  water ,soybeans, wheatflour contains gluten ,salt , rice wine  , sugar , lime juice  , rice vinegar , salt","crustaceans, gluten, sesame seeds, soybeans",https://world.openfoodfacts.org/product/00885584,
145,Prawn linguine,"cooked pasta durum wheat semolina, water, water, skimmed milk, prawn crustacean , onion, cornflour, single cream milk, lemon juice, white wine, mature cheddar cheese milk, wheat flour wheat flour, calcium carbonate, iron, niacin, thiamin, salt, fish gelatine, parsley, lemon zest, dried glucose syrup, potato starch, yeast extract, black pepper, flavouring contains fish, sugar, dried onion, cod fish, dried garlic, leek, rapeseed oil, tomato powder, bay, fennel, white pepper","crustaceans, fish, gluten, milk",https://world.openfoodfacts.org/product/5057753098889,
146,Spaghetti prawns and black pepper sauce,"aouusno ingredients spoghetti , black pepper sauce , houhjihqy onion , shrimp , usnhou bell pepper , usninedau pepper corn  ","crustaceans, gluten",https://world.openfoodfacts.org/product/8850231800861,
147,"Gerble - Sesame Cookie, 230g (8.2oz)","wheat flour, brown cane sugar, rapeseed oil, toasted sesame , wheat germ , whole wheat flour , natural flavor, magnesium, emulsifier lecithins, raising agents potassium tartrates, sodium carbonates, ammonium carbonates, sea salt, wheat starch, vitamins e, pp, b, b, b","gluten, sesame seeds",https://world.openfoodfacts.org/product/3175680011480,
148,Fine Rye Crispbread - Fibre,"whole rye flour  g, wheat bran  g, oatmeal  g, sesame seeds  g, wheat germ, salt","gluten, sesame seeds",https://world.openfoodfacts.org/product/7300400481588,
149,NYC BAGEL Sesame,"wheat flour wheat flour, calcium carbonate, iron, niacin, thiamin, water, sesame seeds , sugar, yeast maize, salt, rapeseed oil, spirit vinegar, sweet potato puree, preservative calcium propionate, malted barley flour, flour treatment agent ascorbic acid","gluten, sesame seeds",https://world.openfoodfacts.org/product/5020364010151,
150,Simply Sesame,"wholegrain rye flour , rye bran, sesame seeds  salt","gluten, sesame seeds",https://world.openfoodfacts.org/product/5050974505297,
151,Belgian Dark Chocolate Rice Cake Thins imp,"organic dark chocolate  organic cocoa mass, organic cane sugar, organic cocoa butter, organic wholegrain brown rice",,https://world.openfoodfacts.org/product/5013665103028,
152,Tilda Steamed Brown Basmati Rice,"natural basmati rice  cooked , rice bran oil, salt",,https://world.openfoodfacts.org/product/5011157888132,
153,Pure Basmati Rice,"basmati rice , rice bran oil",,https://world.openfoodfacts.org/product/5011157888101,
154,Wholegrain Basmati Wild Rice,"natural wholegrain basmati rice steamed , natural wild rice steamed , rice bran oil, acacia fibre",,https://world.openfoodfacts.org/product/5011157992662,
155,Classic Wholegrain Rice,"cooked wholegrain rice  water, wholegrain rice, sunflower oil",,https://world.openfoodfacts.org/product/4088600157962,
156,Multigrain Rice Cakes,"brown rice , com, sorghum, buckwheat, linseed, sunflower seeds, sea salt",,https://world.openfoodfacts.org/product/4088600526065,
157,Snack a Jacks Zingy Salt Vinegar 117g,"wholegrain rice , maize, seasoning flavourings, salt, acid citric acid, sugar, potassium chloride, vinegar powder, sunflower oil",,https://world.openfoodfacts.org/product/5000328024240,
158,Coconut And Rice Milk,"water,  coconut milk coconut cream, water,  rice, sea salt, natural coconut flavor, stabilizers guar gum, gellan gum, xanthan gum,",,https://world.openfoodfacts.org/product/4056489346364,
159,Rice Basmati,"long grain basmati rice,",,https://world.openfoodfacts.org/product/3038359007217,
160,Salt Vinegar Flavour Crispy Rice and Corn Snack,"rice, maize with germ removed, salt and vinegar flavour flavourings, sugar, salt, acid citric acid, potassium chloride, vinegar powder, acidity regulator potassium citrates, sunflower oil allergy advice may contain milk, wheat, gluten, barley, soya, celery, mustard what pp",,https://world.openfoodfacts.org/product/5000328250687,
161,Vermicelles de Riz,"rice flour ,",,https://world.openfoodfacts.org/product/4002359650178,
162,Original Classic Wholegrain Rice,"steamed parboiled wholegrain rice , sunflower oil",,https://world.openfoodfacts.org/product/5010034015098,
163,Aldi Slightly Salted Rice Cake,"brown rice, sea salt",,https://world.openfoodfacts.org/product/4088600526089,
164,Special mexican style rice,"cooked long grain rice  water, long grain rice, red pepper , tomato puree , sunflower oil, sugar, water, green jalapeno chilli , yeast extract powder, onion powder, garlic powder, cumin powder, lemon juice concentrate, flavourings, salt, chilli powder, colours paprika extract, curcumin, turmeric powder, black pepper, cayenne pepper dietary advice suitable for vegetarians no artificial colours, flavourings or preservatives opened, if uncom not suitable for freezin packaged in a protecti  recycle a store dont recy at home fyou are not entire the store where t replace or refundit aldi wk ",,https://world.openfoodfacts.org/product/4088600043340,
165,Wholegrain Rice,"cooked wholegrain rice  water, brown rice, sunflower oil",,https://world.openfoodfacts.org/product/5051008067439,
166,GOLDEN VEGETAB,"steamed parboiled long grain rice , red pepper , carrot , sweetcorn , peas , sunflower oil, salt, yeast extract, natural flavouring, onion powder, spices, acid citric acid",,https://world.openfoodfacts.org/product/5010034013995,
167,Wholegrain Low fat rice cakes imp,"wholegrain brown rice , sea salt",,https://world.openfoodfacts.org/product/5013665103776,
168,Tast of - Basmati Microwave Rice," cooked basmati rice water, basmati rice, vegetable oil sunflower oil or rapeseed oil,",,https://world.openfoodfacts.org/product/20142360,
169,Basmati rice,"water, basmati rice, sunflower oil",,https://world.openfoodfacts.org/product/4088600157924,
170,"Wholegrain Rice, Quinoa, Pumpkin Sunflower Seeds","cooked wholegrain basmati rice water, brown basmati rice, cooked red quinoa water, red quinoa, pumpkin seeds , sunflower seeds , sunflower oil, vegetable bouillonsalt, yeast extract, dextrose, potato starch, onion extract, carrot powder, parsley, marjoram extract, pepper extract, sage extract, thyme extract, colourcurcumin, coconut oil, salt",,https://world.openfoodfacts.org/product/4088600043364,
171,Salt Vinegar flavoured rice cakes,"brown rice , white rice , corn grits, rapeseed oil, salt, flavouring, rice flour, maltodextrin, sugar, acidity regulators citric acid, calcium phosphate, coconut oil, emulsifier acacia gum",,https://world.openfoodfacts.org/product/5059697270109,
172,PROPERCHIPS Sea Salt Lentil Chips,"lentil flour , potato starch, vegetable oils sunflower, rapeseed, corn flour, salt",,https://world.openfoodfacts.org/product/5060283762199,
173,BEANZ In a rich tomato sauce NO ADDED SUGAR,"beans , tomatoes , water, modified cornflour, spirit vinegar, salt, natural flavouring, spice extracts, sweetener  steviol glycosides, herb extract contains naturally occuring sugars",,https://world.openfoodfacts.org/product/5000157078773,
174,Le Superieur -25% de Sel - Conservation sans Nitrite,"pork ham, broth water, pork bones, aromatic plants, spices, onion concentrate, carrot concentrate, pork meat, celery, carrots, celery concentrate, leek, onion, salt, potassium chloride, natural flavor natural presence of polyphenols, vinegar powder, corn dextrose, antioxidant ascorbic acid,",,https://world.openfoodfacts.org/product/3302740047404,
175,Sel fin iode,"sea salt, sodium iodide  to  mgkg expressed as iodine element, antiaggopiars e, magnesium oxide, e,",,https://world.openfoodfacts.org/product/3183280001800,
176,Sea Salt Balsamic Vinegar Crisps,"select potatoes, vegetable oils rapeseed oil, sunflower oil, seasoning with sea salt and balsamic vinegar of modena sea salt, balsamic vinegar of modena potato maltodextrin, sugar, potato starch, acid citric acid, natural flavourings",,https://world.openfoodfacts.org/product/5017764128128,
177,Seabrook sea salt,"potatoes, sunflower oil , sea salt",,https://world.openfoodfacts.org/product/5016451062110,
178,"Love, Corn (Sea Salt)","corn, sunflower oil, sea salt",,https://world.openfoodfacts.org/product/5060490400242,
179,Salt and Vinegar Flavour Potato Crisps,"potatoes, vegetable oils sunflower, rapeseed, in varying proportions, salt , flavouring, dried vinegar, salt, acid citric acid, potassium chloride, sugar",,https://world.openfoodfacts.org/product/51000009,
180,Mixed Beans,"mixed beansblack eyed beans, chickpeas, haricot beans, pinto beans, red kidney beans, adzuki beans, water, firming agentcalcium chloride",,https://world.openfoodfacts.org/product/4088600140872,
181,Baked Sea Salt,"potato flakes, starch, rapeseed oil, sugar, emulsifier lecithins, sea salt seasoning sea salt, salt, flavourings, sunflower oil, colour annato norbixin",,https://world.openfoodfacts.org/product/5000328015927,
182,Lentil Chips - Sea Salt Flavour,"lentil flour , potato starch, rapeseed oil, maize flour, salt",,https://world.openfoodfacts.org/product/5026489483054,
183,Organic Swiss Vegetable Vegan Bouillon Powder,"rice flour, sea salt, maltodextrin from maize, vegetables  onion, carrot, parsnip, pumpkin, yeast extract, sunflower oil, turmeric, mushrooms white mushroom, shiitake, parsley, concentrated vegetable juice onion, carrot, lovage, garlic, fennel seed",,https://world.openfoodfacts.org/product/5016084235516,
184,Sea Salt Cider Vinegar Veggie Cakes,"lentil flour , rapeseed oil, sea salt cider vinegar seasoning  natural flavouring, sea salt, acidity regulator citric acid, vinegar powder, apple cider vinegar powder, green peas ",,https://world.openfoodfacts.org/product/5013665116738,
185,Bio Oat,"water,  oats, sunflower oil, table salt",,https://world.openfoodfacts.org/product/4056489041320,
186,Salt Vinegar Lentil Chips,"lentil flour , potato starch, vegetable oils sunflower oil, rapeseed oil, coconut oil, corn flour, natural flavourings, rice flour, salt, sugar, apple cider vinegar, spirit vinegar",,https://world.openfoodfacts.org/product/5060283762427,
187,Reduced Sugar and Salt Baked Beans,"haricot beans , water, tomato puree , sugar, modified maize starch, salt, onion powder, ground paprika, maltodextrin, onion extract, paprika extract, clove extract, capsicum extract, flavouring, rapeseed oil",,https://world.openfoodfacts.org/product/5057753934996,
188,Quaker Rolled Oats, rolled oats,,https://world.openfoodfacts.org/product/5000108022152,
189,Natural Thick And Creamy,"coconut milk, coconut water, corn flour, corn fibre, potato flour, fruit pectin, cultures streptococcus thermophilus, lactobacillus bulgaricus, lactobacillus acidophilus, bifidobacterium lactis",,https://world.openfoodfacts.org/product/0680569854124,
190,Tempting and Tropical Coconut,"water, coconut milk  coconut cream, water, rice , calcium tricalcium phosphate, stabilisers guar gum, gellan gum, xanthan gum, sea salt, flavourings, vitamins b, d",,https://world.openfoodfacts.org/product/5411188116592,
191,Hot Chocolate Powder,"sugar, cocoa powder, acidity regulator potassium carbonates, flavouring",,https://world.openfoodfacts.org/product/5034660021582,
192,Nature Valley Crunchy Oats Honey,"whole grain rolled oats , sugar, vegetable oils sunflower, rapeseed in varying proportions, honey , salt, molasses, emulsifier lecithins, raising agent sodium bicarbonate",,https://world.openfoodfacts.org/product/8410076600790,
193,Runny Honey,pure honey ,,https://world.openfoodfacts.org/product/01789621,
194,Honey,blend of honeys from more than one countryblend of noneu honeys,,https://world.openfoodfacts.org/product/5011273044757,
195,Miel liquide,mixing of honeys originating and nonoriginating in the ec,,https://world.openfoodfacts.org/product/20001049,
196,Runny Honey,blend of honeys,,https://world.openfoodfacts.org/product/5011273000678,
197,Organic Raw Unfiltered Honey,organic raw honey,,https://world.openfoodfacts.org/product/0096619032938,
198,Organic Honey,"organic brazilian honey, organic thailand honey, organic canadian honey",,https://world.openfoodfacts.org/product/0055828910017,
199,Lightly Sea Salted,"potatoes, sunflower oil, sea salt may contain milk",,https://world.openfoodfacts.org/product/5060042641000,
200,Tartine doux,"nonhydrogenated vegetable oils  rapeseed from france, coconut, palm, palm kernel, flax, water, emulsifiers mono and diglycerides of fatty acids, sunflower lecithin, salt, natural flavours, antioxidant rosemary extract, concentrated lemon juice, colour betacarotene, vitamin b,",,https://world.openfoodfacts.org/product/3155251205296,
